chrw_id,encoding
N13191,RL12628
N 13191,RL12628
N13995,RL93042
D13333,RL18351
N15753,RL18351
N13185,RL88032
N15782,RL14644
N15782,RL83650
N01113,RL27064
N15984,RL27064
D14130,RL48331
D14174,RL54405
N15720,RL58461
N15732,RL00117
N13226,RL76360
N09010,RL44162
Micro 655,RL25691
N14195,RL02214
N14119,RL28569
D15258,RL01121
N15721,RL14214
N14283,RL61121
N14923,RL78241
Micro-607,RL14218
N13343,RL10044
N14052,RL48036
D14361,RL21660
N 15774,RL21660
N14092,RL20816
D13929,RL54849
1,RL08011
 N1479,RL08011
N01479,RL08011
N1479,RL08011
N1479 ,RL08011
N14795,RL08011
N14975,RL08011
N15730,RL12321
N15421,RL18254
N15724,RL31012
N15725,RL31012
D15203,RL24152
D15756,RL24152
D14240,RL15309
N15775,RL12424
N15987,RL44405
N14095,RL29192
N14095,RL13609
N14193,RL26121
N14098,RL22420
N140987,RL22420
N08683,RL40724
N15748,RL15012
N14120,RL12701
N14173,RL32312
N15722,RL78085
N14210,RL24018
D14751,RL16190
N04321,RL23724
N06826,RL42147
D15257,RL24095
SK001,RL48318
D14853,RL04401
N11778,RL13513
D14234,RL30147
D14441,RL18105
N15781,RL18105
N15758,RL18105
N15733,RL14454
N14920,RL18402
D13933,RL60454
D15254,RL17406
N15723,RL10414
N14097,RL08040
N140975,RL08040
N140977,RL08040
N07994,RL13125
N15988,RL14451
N14094,RL01924
N14125,RL01924
N14919,RL01924
N141250,RL01924
D16128,RL18521
D14235,RL16123
N 15786,RL16123
sk10,RL30692
SK007,RL11213
SK008,RL12542
N14922,RL18311
D15916,RL10890
D13779,RL10890
N14050,RL70489
N14050,RL22526
D13974,RL16091
N06348,RL36105
N15729,RL46164
D15482,RL32006
N14096,RL15328
N13996,RL56243
Micro-666,RL92802
N14122,RL19618
N14124,RL30222
N14138,RL17119
N08764,RL14464
N14175,RL60458
Micro 644,RL85151
Micro 0010,RL21155
N14139,RL06601
N13993,RL12018
D13930,RL24189
N 15787,RL24189
N15250,RL14704
N15776,RL16248
D15202,RL11969
D14440,RL12825
D14619,RL12825
D15130,RL12069
N15986,RL40661
N10567,RL36412
D15129,RL11981
N15750,RL11981
D15256,RL10445
N15777,RL19813
N14225,RL99001
N15734,RL98288
N15780,RL24070
N15780,RL70117
D13931,RL42102
D13675,RL70724
N15785,RL70724
N15770,RL60117
N141226,RL27958
N09009,RL80441
N14226,RL18144
 N14651,RL16216
N14121,RL09530
D14855,RL66641
N15754,RL66641
D15200,RL22232
N15755,RL22232
N14921,RL99201
N14921,RL25300
D14606,RL16166
N15773,RL16166
N11478,RL40123
N15728,RL24105
N15253,RL56680
D15201,RL28030
N15757,RL28030
D15204,RL84369
N15752,RL84369
N15204,RL84369
N15727,RL19210
N15751,RL34126
N15747,RL15016
D15248,RL01923
N14943,RL12201
N14943,RL10861
D13928,RL16811
N15784,RL16811
Micro 646,RL84182
N12965,RL10450
N13382,RL36160
N14140,RL10816
N15249,RL22501
N13525,RL33010
N14123,RL14713
D13932,RL24921
N11776,RL60327
N11663,RL32613
Micro 608,RL30423
N14121,RL22136
N141215,RL22136
N141216,RL22136
N08643,RL16828
D16127,RL05672
Micro 647,RL19618
D 14854,RL17542
N15778,RL17542
D14131,RL20834
N 15478,RL20834
N15725,RL14419
D15241,RL13153
N05377,RL60724
D15483,RL10234
N 15793,RL10234
Micro 641,RL11513
N14051,RL12040
N14199,RL91288
N14200,RL91288
N14129,RL24818
bina@69,RL25290
N13779,RL24207
Micro 645,RL24191
N14224,RL12128
N12160,RL36299
N12960,RL64261
N129607,RL64261
N129608,RL64261
N12960,RL42152
N01234,RL70120
N15746,RL04656
N14197,RL78042
N15731,RL78042
N15726,RL14564
N15749,RL14078
D15252,RL10827
N13991,RL10827
N14049,RL96812
N12291,RL92561
N06820,RL16713
N068203,RL16713
N068204,RL16713
N068205,RL16713
N0682055,RL16713
N068207,RL16713
